"No.","Time","Source","Destination","Protocol","Length","Info","TCP header length","DSCP","DSCP Value","QoS","TOS","tcp_delta_time","tcp_rel_time"
"18956","10.831768","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=15981417 Win=65535 Len=0","20","2","2","","","0.000043000","1.167798000"
"18963","10.832028","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=15984053 Win=65535 Len=0","20","2","2","","","0.000043000","1.168058000"
"18964","10.832056","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=15986689 Win=65535 Len=0","20","2","2","","","0.000028000","1.168086000"
"18965","10.832082","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=15989609 Win=65535 Len=0","20","2","2","","","0.000026000","1.168112000"
"18966","10.832114","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=15990785 Win=65535 Len=0","20","2","2","","","0.000032000","1.168144000"
"18976","10.832554","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=15993705 Win=65535 Len=0","20","2","2","","","0.000026000","1.168584000"
"18977","10.832582","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=15996341 Win=65535 Len=0","20","2","2","","","0.000028000","1.168612000"
"18978","10.832641","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=15998977 Win=65535 Len=0","20","2","2","","","0.000059000","1.168671000"
"18979","10.832669","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=16001897 Win=65535 Len=0","20","2","2","","","0.000028000","1.168699000"
"18983","10.832828","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=16003073 Win=65535 Len=0","20","2","2","","","0.000036000","1.168858000"
"18984","10.832865","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=16005993 Win=65535 Len=0","20","2","2","","","0.000037000","1.168895000"
"18985","10.832899","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=16007169 Win=65535 Len=0","20","2","2","","","0.000034000","1.168929000"
"18995","10.833242","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=16010089 Win=65535 Len=0","20","2","2","","","0.000035000","1.169272000"
"18996","10.833278","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=16011265 Win=65535 Len=0","20","2","2","","","0.000036000","1.169308000"
"18997","10.833316","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=16014185 Win=65535 Len=0","20","2","2","","","0.000038000","1.169346000"
"18998","10.833345","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=16016821 Win=65535 Len=0","20","2","2","","","0.000029000","1.169375000"
"18999","10.833381","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=16019457 Win=65535 Len=0","20","2","2","","","0.000036000","1.169411000"
"19007","10.833731","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=16022377 Win=65535 Len=0","20","2","2","","","0.000034000","1.169761000"
"19010","10.833800","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=16025013 Win=65535 Len=0","20","2","2","","","0.000047000","1.169830000"
"19011","10.833831","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=16027649 Win=65535 Len=0","20","2","2","","","0.000031000","1.169861000"
"19012","10.833971","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=16030569 Win=65535 Len=0","20","2","2","","","0.000140000","1.170001000"
"19019","10.834085","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=16033205 Win=65535 Len=0","20","2","2","","","0.000035000","1.170115000"
"19020","10.834119","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=16035841 Win=65535 Len=0","20","2","2","","","0.000034000","1.170149000"
"19021","10.834154","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=16038761 Win=65535 Len=0","20","2","2","","","0.000035000","1.170184000"
"19022","10.834182","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=16039937 Win=65535 Len=0","20","2","2","","","0.000028000","1.170212000"
"19028","10.834472","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=16042857 Win=65535 Len=0","20","2","2","","","0.000032000","1.170502000"
"19033","10.834663","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=16045493 Win=65535 Len=0","20","2","2","","","0.000162000","1.170693000"
"19034","10.834709","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=16048129 Win=65535 Len=0","20","2","2","","","0.000046000","1.170739000"
"19035","10.834777","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=16051049 Win=65535 Len=0","20","2","2","","","0.000068000","1.170807000"
"19036","10.834825","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=16052225 Win=65535 Len=0","20","2","2","","","0.000048000","1.170855000"
"19040","10.835146","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=16055145 Win=65535 Len=0","20","2","2","","","0.000035000","1.171176000"
"19043","10.835221","172.31.187.11","172.31.187.1","TCP","54","med-ltp(24000)  >  4630 [ACK] Seq=1 Ack=16056321 Win=65535 Len=0","20","2","2","","","0.000033000","1.171251000"
