"No.","Time","Source","Destination","Protocol","Length","Info","TCP header length","DSCP","DSCP Value","QoS","TOS","tcp_delta_time","tcp_rel_time"
"40979","84.916155","212.174.114.237.static.ttnet.com.tr","172.31.187.1","TCP","1514","62433  >  35515 [PSH, ACK] Seq=303681 Ack=307 Win=16207 Len=1460","20","Class Selector 2","CS2","","","0.145403000","84.880537000"
"40980","84.920155","201-255-168-194.mrse.com.ar","172.31.187.1","TCP","1494","autocuesmi(3103)  >  35515 [ACK] Seq=54679 Ack=1285 Win=64251 Len=1440","20","Class Selector 2","CS2","","","0.149380000","26.952765000"
"40981","84.922155","77-251-106-152.cable.dynamic.v4.ziggo.nl","172.31.187.1","TCP","1514","[TCP Retransmission] 33468  >  eq-office-4942(4942) [ACK] Seq=46056 Ack=77369 Win=64240 Len=1460","20","Class Selector 2","CS2","","","4.426660000","78.879666000"
"40983","84.926354","74.246.217.87.dynamic.jazztel.es","172.31.187.1","TCP","1496","[TCP Retransmission] 18638  >  4955 [ACK] Seq=571393 Ack=1007 Win=64745 Len=1442","20","Class Selector 2","CS2","","","0.702453000","84.773531000"
"40984","84.933557","78-59-201-167.static.zebra.lt","172.31.187.1","TCP","1514","57857  >  35515 [ACK] Seq=4123488 Ack=5277 Win=65535 Len=1448 TSval=790407518 TSecr=284239[Packet size limited during capture]","32","Assured Forwarding 11","AF11","","","0.022202000","84.925536000"
"40985","84.933563","201-223-19-187.baf.movistar.cl","172.31.187.1","TCP","1414","53813  >  4890 [ACK] Seq=48205 Ack=16870 Win=17167 Len=1360","20","Class Selector 2","CS2","","","0.019207000","81.773114000"
"40988","84.935757","201-223-19-187.baf.movistar.cl","172.31.187.1","TCP","131","53813  >  4890 [PSH, ACK] Seq=49565 Ack=16870 Win=17167 Len=77","20","Class Selector 2","CS2","","","0.002168000","81.775308000"
"40990","84.938756","74.246.217.87.dynamic.jazztel.es","172.31.187.1","TCP","1496","[TCP Retransmission] 18638  >  4955 [ACK] Seq=572835 Ack=1007 Win=64745 Len=1442","20","Class Selector 2","CS2","","","0.012402000","84.785933000"
"40992","84.940757","190-21-6-36.baf.movistar.cl","172.31.187.1","TCP","1494","48462  >  4863 [ACK] Seq=281789 Ack=290 Win=7531 Len=1440","20","Class Selector 2","CS2","","","0.612389000","84.900350000"
"40993","84.946556","201-255-168-194.mrse.com.ar","172.31.187.1","TCP","1494","autocuesmi(3103)  >  35515 [ACK] Seq=56119 Ack=1285 Win=64251 Len=1440","20","Class Selector 2","CS2","","","0.026401000","26.979166000"
