"No.","Time","Source","Destination","Protocol","Length","Info","TCP header length","DSCP","DSCP Value","QoS","TOS","tcp_delta_time","tcp_rel_time"
"17645","10.773160","172.31.187.1","172.31.187.11","TCP","1514","4630  >  med-ltp(24000) [ACK] Seq=14721025 Ack=1 Win=65535 Len=1460","20","Default","CS0","","","0.000024000","1.109190000"
"17646","10.773167","172.31.187.1","172.31.187.11","TCP","1514","4630  >  med-ltp(24000) [ACK] Seq=14722485 Ack=1 Win=65535 Len=1460","20","Default","CS0","","","0.000007000","1.109197000"
"17647","10.773172","172.31.187.1","172.31.187.11","TCP","1230","4630  >  med-ltp(24000) [PSH, ACK] Seq=14723945 Ack=1 Win=65535 Len=1176","20","Default","CS0","","","0.000005000","1.109202000"
"17648","10.773215","172.31.187.1","172.31.187.11","TCP","1514","4630  >  med-ltp(24000) [ACK] Seq=14725121 Ack=1 Win=65535 Len=1460","20","Default","CS0","","","0.000043000","1.109245000"
"17650","10.773277","172.31.187.1","172.31.187.11","TCP","1514","4630  >  med-ltp(24000) [ACK] Seq=14726581 Ack=1 Win=65535 Len=1460","20","Default","CS0","","","0.000017000","1.109307000"
"17651","10.773281","172.31.187.1","172.31.187.11","TCP","1230","4630  >  med-ltp(24000) [PSH, ACK] Seq=14728041 Ack=1 Win=65535 Len=1176","20","Default","CS0","","","0.000004000","1.109311000"
"17653","10.773374","172.31.187.1","172.31.187.11","TCP","1514","4630  >  med-ltp(24000) [ACK] Seq=14729217 Ack=1 Win=65535 Len=1460","20","Default","CS0","","","0.000021000","1.109404000"
"17654","10.773379","172.31.187.1","172.31.187.11","TCP","1514","4630  >  med-ltp(24000) [ACK] Seq=14730677 Ack=1 Win=65535 Len=1460","20","Default","CS0","","","0.000005000","1.109409000"
"17655","10.773383","172.31.187.1","172.31.187.11","TCP","1230","4630  >  med-ltp(24000) [PSH, ACK] Seq=14732137 Ack=1 Win=65535 Len=1176","20","Default","CS0","","","0.000004000","1.109413000"
"17657","10.773576","172.31.187.1","172.31.187.11","TCP","1514","4630  >  med-ltp(24000) [ACK] Seq=14733313 Ack=1 Win=65535 Len=1460","20","Default","CS0","","","0.000044000","1.109606000"
"17658","10.773591","172.31.187.1","172.31.187.11","TCP","1514","4630  >  med-ltp(24000) [ACK] Seq=14734773 Ack=1 Win=65535 Len=1460","20","Default","CS0","","","0.000015000","1.109621000"
"17659","10.773597","172.31.187.1","172.31.187.11","TCP","1230","4630  >  med-ltp(24000) [PSH, ACK] Seq=14736233 Ack=1 Win=65535 Len=1176","20","Default","CS0","","","0.000006000","1.109627000"
"17660","10.773639","172.31.187.1","172.31.187.11","TCP","1514","4630  >  med-ltp(24000) [ACK] Seq=14737409 Ack=1 Win=65535 Len=1460","20","Default","CS0","","","0.000042000","1.109669000"
"17661","10.773648","172.31.187.1","172.31.187.11","TCP","1514","4630  >  med-ltp(24000) [ACK] Seq=14738869 Ack=1 Win=65535 Len=1460","20","Default","CS0","","","0.000009000","1.109678000"
"17662","10.773656","172.31.187.1","172.31.187.11","TCP","1230","4630  >  med-ltp(24000) [PSH, ACK] Seq=14740329 Ack=1 Win=65535 Len=1176","20","Default","CS0","","","0.000008000","1.109686000"
"17664","10.773823","172.31.187.1","172.31.187.11","TCP","1514","4630  >  med-ltp(24000) [ACK] Seq=14741505 Ack=1 Win=65535 Len=1460","20","Default","CS0","","","0.000107000","1.109853000"
"17665","10.773835","172.31.187.1","172.31.187.11","TCP","1514","4630  >  med-ltp(24000) [ACK] Seq=14742965 Ack=1 Win=65535 Len=1460","20","Default","CS0","","","0.000012000","1.109865000"
"17666","10.773839","172.31.187.1","172.31.187.11","TCP","1230","4630  >  med-ltp(24000) [PSH, ACK] Seq=14744425 Ack=1 Win=65535 Len=1176","20","Default","CS0","","","0.000004000","1.109869000"
"17668","10.773942","172.31.187.1","172.31.187.11","TCP","1514","4630  >  med-ltp(24000) [ACK] Seq=14745601 Ack=1 Win=65535 Len=1460","20","Default","CS0","","","0.000060000","1.109972000"
"17670","10.773991","172.31.187.1","172.31.187.11","TCP","1514","4630  >  med-ltp(24000) [ACK] Seq=14747061 Ack=1 Win=65535 Len=1460","20","Default","CS0","","","0.000017000","1.110021000"
"17671","10.773997","172.31.187.1","172.31.187.11","TCP","1230","4630  >  med-ltp(24000) [PSH, ACK] Seq=14748521 Ack=1 Win=65535 Len=1176","20","Default","CS0","","","0.000006000","1.110027000"
"17673","10.774042","172.31.187.1","172.31.187.11","TCP","1514","4630  >  med-ltp(24000) [ACK] Seq=14749697 Ack=1 Win=65535 Len=1460","20","Default","CS0","","","0.000014000","1.110072000"
"17674","10.774046","172.31.187.1","172.31.187.11","TCP","1514","4630  >  med-ltp(24000) [ACK] Seq=14751157 Ack=1 Win=65535 Len=1460","20","Default","CS0","","","0.000004000","1.110076000"
"17676","10.774096","172.31.187.1","172.31.187.11","TCP","1230","4630  >  med-ltp(24000) [PSH, ACK] Seq=14752617 Ack=1 Win=65535 Len=1176","20","Default","CS0","","","0.000015000","1.110126000"
"17677","10.774200","172.31.187.1","172.31.187.11","TCP","1514","4630  >  med-ltp(24000) [ACK] Seq=14753793 Ack=1 Win=65535 Len=1460","20","Default","CS0","","","0.000104000","1.110230000"
"17679","10.774250","172.31.187.1","172.31.187.11","TCP","1514","4630  >  med-ltp(24000) [ACK] Seq=14755253 Ack=1 Win=65535 Len=1460","20","Default","CS0","","","0.000018000","1.110280000"
"17680","10.774256","172.31.187.1","172.31.187.11","TCP","1230","4630  >  med-ltp(24000) [PSH, ACK] Seq=14756713 Ack=1 Win=65535 Len=1176","20","Default","CS0","","","0.000006000","1.110286000"
"17683","10.774404","172.31.187.1","172.31.187.11","TCP","1514","4630  >  med-ltp(24000) [ACK] Seq=14757889 Ack=1 Win=65535 Len=1460","20","Default","CS0","","","0.000081000","1.110434000"
"17684","10.774418","172.31.187.1","172.31.187.11","TCP","1514","4630  >  med-ltp(24000) [ACK] Seq=14759349 Ack=1 Win=65535 Len=1460","20","Default","CS0","","","0.000014000","1.110448000"
"17686","10.774466","172.31.187.1","172.31.187.11","TCP","1230","4630  >  med-ltp(24000) [PSH, ACK] Seq=14760809 Ack=1 Win=65535 Len=1176","20","Default","CS0","","","0.000016000","1.110496000"
"17688","10.774666","172.31.187.1","172.31.187.11","TCP","1514","4630  >  med-ltp(24000) [ACK] Seq=14761985 Ack=1 Win=65535 Len=1460","20","Default","CS0","","","0.000042000","1.110696000"
"17689","10.774676","172.31.187.1","172.31.187.11","TCP","1514","4630  >  med-ltp(24000) [ACK] Seq=14763445 Ack=1 Win=65535 Len=1460","20","Default","CS0","","","0.000010000","1.110706000"
"17690","10.774723","172.31.187.1","172.31.187.11","TCP","1230","4630  >  med-ltp(24000) [PSH, ACK] Seq=14764905 Ack=1 Win=65535 Len=1176","20","Default","CS0","","","0.000047000","1.110753000"
"17691","10.774781","172.31.187.1","172.31.187.11","TCP","1514","4630  >  med-ltp(24000) [ACK] Seq=14766081 Ack=1 Win=65535 Len=1460","20","Default","CS0","","","0.000058000","1.110811000"
"17692","10.774786","172.31.187.1","172.31.187.11","TCP","1514","4630  >  med-ltp(24000) [ACK] Seq=14767541 Ack=1 Win=65535 Len=1460","20","Default","CS0","","","0.000005000","1.110816000"
"17693","10.774827","172.31.187.1","172.31.187.11","TCP","1230","4630  >  med-ltp(24000) [PSH, ACK] Seq=14769001 Ack=1 Win=65535 Len=1176","20","Default","CS0","","","0.000041000","1.110857000"
"17696","10.775004","172.31.187.1","172.31.187.11","TCP","1514","4630  >  med-ltp(24000) [ACK] Seq=14770177 Ack=1 Win=65535 Len=1460","20","Default","CS0","","","0.000102000","1.111034000"
"17697","10.775017","172.31.187.1","172.31.187.11","TCP","1514","4630  >  med-ltp(24000) [ACK] Seq=14771637 Ack=1 Win=65535 Len=1460","20","Default","CS0","","","0.000013000","1.111047000"
"17698","10.775023","172.31.187.1","172.31.187.11","TCP","1230","4630  >  med-ltp(24000) [PSH, ACK] Seq=14773097 Ack=1 Win=65535 Len=1176","20","Default","CS0","","","0.000006000","1.111053000"
"17700","10.775160","172.31.187.1","172.31.187.11","TCP","1514","4630  >  med-ltp(24000) [ACK] Seq=14774273 Ack=1 Win=65535 Len=1460","20","Default","CS0","","","0.000056000","1.111190000"
"17701","10.775232","172.31.187.1","172.31.187.11","TCP","1514","4630  >  med-ltp(24000) [ACK] Seq=14775733 Ack=1 Win=65535 Len=1460","20","Default","CS0","","","0.000072000","1.111262000"
"17702","10.775245","172.31.187.1","172.31.187.11","TCP","1230","4630  >  med-ltp(24000) [PSH, ACK] Seq=14777193 Ack=1 Win=65535 Len=1176","20","Default","CS0","","","0.000013000","1.111275000"
"17703","10.775251","172.31.187.1","172.31.187.11","TCP","1514","4630  >  med-ltp(24000) [ACK] Seq=14778369 Ack=1 Win=65535 Len=1460","20","Default","CS0","","","0.000006000","1.111281000"
"17704","10.775280","172.31.187.1","172.31.187.11","TCP","1514","4630  >  med-ltp(24000) [ACK] Seq=14779829 Ack=1 Win=65535 Len=1460","20","Default","CS0","","","0.000029000","1.111310000"
"17705","10.775287","172.31.187.1","172.31.187.11","TCP","1230","4630  >  med-ltp(24000) [PSH, ACK] Seq=14781289 Ack=1 Win=65535 Len=1176","20","Default","CS0","","","0.000007000","1.111317000"
"17707","10.775382","172.31.187.1","172.31.187.11","TCP","1514","4630  >  med-ltp(24000) [ACK] Seq=14782465 Ack=1 Win=65535 Len=1460","20","Default","CS0","","","0.000015000","1.111412000"
"17708","10.775388","172.31.187.1","172.31.187.11","TCP","1514","4630  >  med-ltp(24000) [ACK] Seq=14783925 Ack=1 Win=65535 Len=1460","20","Default","CS0","","","0.000006000","1.111418000"
"17709","10.775394","172.31.187.1","172.31.187.11","TCP","1230","4630  >  med-ltp(24000) [PSH, ACK] Seq=14785385 Ack=1 Win=65535 Len=1176[Packet size limited during capture]","20","Default","CS0","","","0.000006000","1.111424000"
"17711","10.775562","172.31.187.1","172.31.187.11","TCP","1514","4630  >  med-ltp(24000) [ACK] Seq=14786561 Ack=1 Win=65535 Len=1460","20","Default","CS0","","","0.000063000","1.111592000"
"17712","10.775578","172.31.187.1","172.31.187.11","TCP","1514","4630  >  med-ltp(24000) [ACK] Seq=14788021 Ack=1 Win=65535 Len=1460","20","Default","CS0","","","0.000016000","1.111608000"
"17713","10.775584","172.31.187.1","172.31.187.11","TCP","1230","4630  >  med-ltp(24000) [PSH, ACK] Seq=14789481 Ack=1 Win=65535 Len=1176","20","Default","CS0","","","0.000006000","1.111614000"
